Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1961","1961","ha","105559557","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1962","1962","ha","103496482","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1963","1963","ha","108427437","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1964","1964","ha","107925079","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1965","1965","ha","106676509","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1966","1966","ha","111241003","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1967","1967","ha","112457710","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1968","1968","ha","111677793","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1969","1969","ha","111338030","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1970","1970","ha","113076129","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1971","1971","ha","118195107","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1972","1972","ha","114947797","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1973","1973","ha","116943558","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1974","1974","ha","119862407","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1975","1975","ha","121483571","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1976","1976","ha","124209063","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1977","1977","ha","125249265","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1978","1978","ha","124729572","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1979","1979","ha","123679511","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1980","1980","ha","125776304","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1981","1981","ha","127894979","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1982","1982","ha","124390723","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1983","1983","ha","117848143","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1984","1984","ha","127763910","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1985","1985","ha","130512386","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1986","1986","ha","131803662","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1987","1987","ha","129972003","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1988","1988","ha","130010260","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1989","1989","ha","131782860","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1990","1990","ha","131037869","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1991","1991","ha","133634327","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1992","1992","ha","136644858","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1993","1993","ha","131444109","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1994","1994","ha","138291923","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1995","1995","ha","135768985","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1996","1996","ha","139350258","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1997","1997","ha","140778985","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1998","1998","ha","138669988","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","1999","1999","ha","137254857","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","2000","2000","ha","136927558","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","2001","2001","ha","137383573","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","2002","2002","ha","137529430","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","2003","2003","ha","144597192","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","2004","2004","ha","147531384","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","2005","2005","ha","148204653","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","2006","2006","ha","148378467","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","2007","2007","ha","159255367","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","2008","2008","ha","163679436","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","2009","2009","ha","159391702","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","2010","2010","ha","165331112","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","2011","2011","ha","172742510","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","2012","2012","ha","180368535","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","2013","2013","ha","187559445","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","2014","2014","ha","186293234","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","2015","2015","ha","191307407","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","2016","2016","ha","196515250","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","2017","2017","ha","198202952","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","2018","2018","ha","195380870","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","2019","2019","ha","196356719","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","56","Maize","2020","2020","ha","201983645","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1961","1961","hg/ha","19423","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1962","1962","hg/ha","19796","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1963","1963","hg/ha","20311","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1964","1964","hg/ha","19937","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1965","1965","hg/ha","21237","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1966","1966","hg/ha","22078","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1967","1967","hg/ha","24236","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1968","1968","hg/ha","22894","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1969","1969","hg/ha","24206","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1970","1970","hg/ha","23509","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1971","1971","hg/ha","26534","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1972","1972","hg/ha","26867","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1973","1973","hg/ha","27217","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1974","1974","hg/ha","25565","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1975","1975","hg/ha","28132","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1976","1976","hg/ha","28371","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1977","1977","hg/ha","29668","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1978","1978","hg/ha","31556","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1979","1979","hg/ha","33847","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1980","1980","hg/ha","31534","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1981","1981","hg/ha","34933","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1982","1982","hg/ha","36090","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1983","1983","hg/ha","29452","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1984","1984","hg/ha","35256","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1985","1985","hg/ha","37202","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1986","1986","hg/ha","36279","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1987","1987","hg/ha","34863","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1988","1988","hg/ha","31001","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1989","1989","hg/ha","36186","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1990","1990","hg/ha","36907","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1991","1991","hg/ha","36997","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1992","1992","hg/ha","39064","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1993","1993","hg/ha","36306","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1994","1994","hg/ha","41121","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1995","1995","hg/ha","38101","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1996","1996","hg/ha","42063","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1997","1997","hg/ha","41513","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1998","1998","hg/ha","44356","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","1999","1999","hg/ha","44256","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","2000","2000","hg/ha","43237","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","2001","2001","hg/ha","44776","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","2002","2002","hg/ha","43885","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","2003","2003","hg/ha","44610","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","2004","2004","hg/ha","49448","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","2005","2005","hg/ha","48190","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","2006","2006","hg/ha","47712","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","2007","2007","hg/ha","49828","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","2008","2008","hg/ha","50696","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","2009","2009","hg/ha","51497","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","2010","2010","hg/ha","51581","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","2011","2011","hg/ha","51393","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","2012","2012","hg/ha","48543","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","2013","2013","hg/ha","54212","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","2014","2014","hg/ha","55821","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","2015","2015","hg/ha","55028","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","2016","2016","hg/ha","57372","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","2017","2017","hg/ha","57452","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","2018","2018","hg/ha","57542","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","2019","2019","hg/ha","58127","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","56","Maize","2020","2020","hg/ha","57547","Fc","Calculated data"
